SOC [-],OCV [V]
0.226858,3.501169076862745
0.227672,3.501809076862745
0.228491,3.502459076862745
0.229305,3.503099076862745
0.230123,3.504389076862745
0.230942,3.505029076862745
0.231761,3.5056690768627448
0.232575,3.506319076862745
0.233393,3.5069590768627448
0.234212,3.507599076862745
0.235031,3.508249076862745
0.235845,3.508889076862745
0.236659,3.5095290768627447
0.237473,3.510179076862745
0.238292,3.5108190768627447
0.239111,3.511459076862745
0.239929,3.5121090768627448
0.240748,3.512749076862745
0.241567,3.513389076862745
0.242385,3.514039076862745
0.243199,3.5146790768627447
0.244018,3.515319076862745
0.244832,3.5159690768627447
0.245651,3.516609076862745
0.246465,3.517249076862745
0.247279,3.517899076862745
0.248098,3.518539076862745
0.248916,3.519179076862745
0.249735,3.519829076862745
0.250549,3.520469076862745
0.251368,3.521109076862745
0.252187,3.521759076862745
0.253005,3.522399076862745
0.253819,3.523039076862745
0.254633,3.523689076862745
0.255447,3.524329076862745
0.256266,3.524969076862745
0.257085,3.525619076862745
0.257904,3.525619076862745
0.258722,3.526259076862745
0.259536,3.526899076862745
0.260355,3.527549076862745
0.261169,3.528189076862745
0.261983,3.528829076862745
0.262802,3.529479076862745
0.263616,3.530119076862745
0.26443,3.530759076862745
0.265244,3.530759076862745
0.266063,3.531409076862745
0.266881,3.532049076862745
0.2677,3.532689076862745
0.268514,3.533339076862745
0.269328,3.533979076862745
0.270142,3.534619076862745
0.270956,3.535269076862745
0.271771,3.535909076862745
0.272585,3.535909076862745
0.273403,3.536549076862745
0.274217,3.537199076862745
0.275036,3.537839076862745
0.27585,3.537839076862745
0.276664,3.5384790768627448
0.277478,3.539129076862745
0.278297,3.539769076862745
0.279111,3.540409076862745
0.279925,3.541059076862745
0.280739,3.541059076862745
0.281558,3.541699076862745
0.282372,3.5423390768627447
0.283186,3.542989076862745
0.284,3.5436290768627448
0.284814,3.5436290768627448
0.285633,3.544269076862745
0.286447,3.5449190768627448
0.287266,3.545559076862745
0.288084,3.546199076862745
0.288903,3.546849076862745
0.289722,3.546849076862745
0.290536,3.5474890768627447
0.291355,3.548129076862745
0.292168,3.548129076862745
0.292983,3.5487790768627447
0.293797,3.549419076862745
0.294615,3.550059076862745
0.295429,3.550709076862745
0.296248,3.551349076862745
0.297062,3.551349076862745
0.297881,3.551989076862745
0.2987,3.552639076862745
0.299514,3.553279076862745
0.300328,3.553919076862745
0.301142,3.553919076862745
0.301961,3.554569076862745
